"margin","n","scale","HDIprob_sim","BFthres_sim"
0.1,50,0.353553390593274,0.419099958916624,4.01233331373147
0.1,100,0.353553390593274,0.529605359138818,6.34192619753915
0.1,250,0.353553390593274,0.713656556602389,14.7702930029429
0.1,500,0.353553390593274,0.841009486983065,36.8544045267883
0.2,50,0.353553390593274,0.740306410785079,7.05709514051656
0.2,100,0.353553390593274,0.843551139872118,15.0413955490464
0.2,250,0.353553390593274,0.921626380018456,48.1126709328941
0.2,500,0.353553390593274,0.921745668067177,50.4322800903308
0.3,50,0.353553390593274,0.895301260019749,14.3697902860025
0.3,100,0.353553390593274,0.940439295795463,35.9493232613601
0.3,250,0.353553390593274,0.935842111195188,36.5571619678886
0.3,500,0.353553390593274,0.928356246790883,33.1269910230942
0.1,50,0.707106781186547,0.360298363024738,7.04422758621417
0.1,100,0.707106781186547,0.487168325887736,11.8023551703086
0.1,250,0.707106781186547,0.690972510853541,28.9641129342562
0.1,500,0.707106781186547,0.82934056769192,73.8756335747876
0.2,50,0.707106781186547,0.672509391883316,11.9056726746685
0.2,100,0.707106781186547,0.804624214955733,26.743061661388
0.2,250,0.707106781186547,0.9035564143073,88.500494804689
0.2,500,0.707106781186547,0.906657461013032,95.809320294464
0.3,50,0.707106781186547,0.84749295787237,22.4583391428837
0.3,100,0.707106781186547,0.913455505426796,58.0768960266939
0.3,250,0.707106781186547,0.912713462498196,63.1935909475853
0.3,500,0.707106781186547,0.909905412594663,61.6568040002164
0.1,50,1.41421356237309,0.339387773113565,13.6554922217321
0.1,100,1.41421356237309,0.473381580880474,23.4914041845309
0.1,250,1.41421356237309,0.68439524266686,58.7690953018192
0.1,500,1.41421356237309,0.82619878952261,150.944379109642
0.2,50,1.41421356237309,0.644534101285434,23.0693913595816
0.2,100,1.41421356237309,0.790264128642263,53.297918191208
0.2,250,1.41421356237309,0.89704777069512,179.306685440938
0.2,500,1.41421356237309,0.901365264725234,196.237611709242
0.3,50,1.41421356237309,0.823792795510547,42.6908513296745
0.3,100,1.41421356237309,0.900748246693908,112.826071944878
0.3,250,1.41421356237309,0.903283337215607,126.292140815352
0.3,500,1.41421356237309,0.902051145161833,126.266134899193
